cell,pseudotime,celltype,UMAP_1,UMAP_2
9,4.18761624161299,Tumor Cells(Dedifferentiated),-3.49460338,-2.529830978
13,4.09531928801891,Tumor Epithelial,-4.021296724,-0.811965987
14,20.7063301855578,Stressed Tumor (p53+),5.61275602906706,3.02421356709526
16,20.7427569162399,Stressed Tumor (p53+),5.55181957810881,3.31540484698341
20,20.875852929982,Stressed Tumor (p53+),5.45246650308134,2.45785637171791
21,2.09876648844802,Tumor Epithelial,-5.665765986,-2.375776813
26,0.744011880225033,Tumor Epithelial,-7.416142687,-1.501181171
27,17.522984918898,Tumor Cells(Dedifferentiated),9.24964477151396,2.54307340057419
29,1.21682445241318,Tumor Epithelial,-6.418606028,-2.769159839
30,16.4313218099944,Tumor Cells(Dedifferentiated),7.98710252374174,2.04300503404663
31,1.04232291283854,Tumor Epithelial,-6.627314791,-2.691849277
32,18.5254475005072,Tumor Cells(Dedifferentiated),7.8709536942816,2.97525997431801
35,20.5286958514655,Stressed Tumor (p53+),5.82749505370619,2.58192689688728
37,19.0928663002089,Tumor Cells(Dedifferentiated),7.28478075593473,3.3944164064698
39,1.9069830623927,Tumor Epithelial,-5.808420404,-2.544353053
47,17.4571170319154,Tumor Cells(Dedifferentiated),9.27735258668424,2.34219904960917
50,17.1891752037177,Tumor Cells(Dedifferentiated),8.95347143739225,1.83972154529617
52,1.0001216737988,Tumor Epithelial,-7.322705492,-1.013883159
53,0.253153622336878,Tumor Epithelial,-7.609325632,-2.344954059
56,16.3846426116378,Tumor Cells(Dedifferentiated),8.07608987420561,1.46652813227699
62,3.75790243844204,Tumor Epithelial,-4.351944193,-0.901888415
65,20.875852929982,Stressed Tumor (p53+),5.37798060506346,2.24084644364045
67,19.8521784240694,Stressed Tumor (p53+),6.50306464761259,2.47933389218376
69,0.919471985602507,Tumor Epithelial,-6.555261835,-3.205864951
73,19.7326129296322,Stressed Tumor (p53+),6.59012722998621,3.21787579329537
77,2.60835746606285,Tumor Epithelial,-5.36892341,-1.560345933
84,17.6714603313469,Tumor Cells(Dedifferentiated),8.90444208711149,2.68568475516365
